Ticket #,Date Issue,Location,Type,Hour,Day
24P1101234,2024-04-25 12:21:00,LANGDON ST,Meter,12,Thursday
24P1101235,2024-04-25 12:25:00,LANGDON ST,Meter,12,Thursday
24P1101236,2024-04-25 12:28:00,LANGDON ST,Meter,12,Thursday
24P1101237,2024-04-25 12:49:00,LAKE ST,088,12,Thursday
24P1101238,2024-04-25 13:15:00,STATE ST CAPITOL RAMP,135,13,Thursday
24P1101239,2024-04-25 13:33:00,MARTIN LUTHER KING JR BLVD,Meter,13,Thursday
24P1101240,2024-04-25 14:24:00,WILSON ST,Meter,14,Thursday
24P1101241,2024-04-25 14:31:00,MARTIN LUTHER KING JR BLVD,010,14,Thursday
24P1101242,2024-04-25 15:15:00,LANGDON ST,Meter,15,Thursday
24P1101243,2024-04-25 15:28:00,LANGDON ST,Meter,15,Thursday
24P1101244,2024-04-25 15:37:00,LAKE ST,045,15,Thursday
24P1101245,2024-04-26 09:01:00,WILSON ST,Meter,9,Friday
24P1101246,2024-04-26 09:08:00,HAMILTON ST,Meter,9,Friday
24P1101247,2024-04-26 09:25:00,MAIN ST,Meter,9,Friday
24P1101248,2024-04-26 09:39:00,WASHINGTON AVE,Meter,9,Friday
24P1101249,2024-04-26 09:48:00,MIFFLIN ST,Meter,9,Friday
24P1101250,2024-04-26 10:05:00,MIFFLIN ST,Meter,10,Friday
24P1101251,2024-04-26 10:16:00,WASHINGTON AVE,Meter,10,Friday
24P1101252,2024-04-26 10:27:00,BROOM ST,Meter,10,Friday
24P1101253,2024-04-26 10:49:00,STATE ST CAPITOL RAMP,135,10,Friday
24P1101254,2024-04-26 11:16:00,STATE ST CAPITOL RAMP,001,11,Friday
24P1101255,2024-04-26 11:22:00,CARROLL ST,Meter,11,Friday
24P1101256,2024-04-26 11:37:00,WISCONSIN AVE,Meter,11,Friday
24P1101257,2024-04-26 11:48:00,MIFFLIN ST,Meter,11,Friday
24P1101258,2024-04-26 12:22:00,DOTY ST,Meter,12,Friday
24P1101259,2024-04-26 12:28:00,CARROLL ST,Meter,12,Friday
24P1101260,2024-04-26 12:33:00,HAMILTON ST,Meter,12,Friday
24P1101261,2024-04-26 12:38:00,HAMILTON ST,Meter,12,Friday
24P1101262,2024-04-26 12:44:00,DOTY ST,Meter,12,Friday
24P1101263,2024-04-26 12:46:00,DOTY ST,Meter,12,Friday
24P1101264,2024-04-26 13:04:00,CARROLL ST,Meter,13,Friday
24P1101265,2024-04-26 13:10:00,WASHINGTON AVE,045,13,Friday
24P1101266,2024-04-26 13:17:00,FAIRCHILD ST,Meter,13,Friday
24P1101267,2024-04-26 13:27:00,DOTY ST,010,13,Friday
24P1101268,2024-04-26 13:31:00,DOTY ST,010,13,Friday
24P1101269,2024-04-26 13:37:00,MARTIN LUTHER KING JR BLVD,Meter,13,Friday
24P1101270,2024-04-26 13:39:00,MARTIN LUTHER KING JR BLVD,Meter,13,Friday
24P1101271,2024-04-26 14:34:00,WILSON ST,Meter,14,Friday
24P1101272,2024-04-26 14:58:00,MIFFLIN ST,016,14,Friday
24P1101273,2024-04-26 15:02:00,MIFFLIN ST,Meter,15,Friday
24P1101274,2024-04-26 15:07:00,WISCONSIN AVE,Meter,15,Friday
24P1101275,2024-04-26 15:21:00,STATE ST CAPITOL RAMP,135,15,Friday
24P1101276,2024-04-26 15:42:00,HENRY ST,Meter,15,Friday
24P1101277,2024-04-26 15:49:00,HENRY ST,Meter,15,Friday
24P1101278,2024-04-26 15:55:00,DOTY ST,010,15,Friday
24P1101279,2024-04-29 09:06:00,HAMILTON ST,Meter,9,Monday
24P1101280,2024-04-29 09:07:00,HAMILTON ST,Meter,9,Monday
24P1101281,2024-04-29 09:20:00,DOTY ST,Meter,9,Monday
24P1101282,2024-04-29 09:24:00,HAMILTON ST,Meter,9,Monday
24P1101283,2024-04-29 09:29:00,HENRY ST,Meter,9,Monday
24P1101284,2024-04-29 09:36:00,MAIN ST,Meter,9,Monday
24P1101285,2024-04-29 09:39:00,MAIN ST,Meter,9,Monday
24P1101286,2024-04-29 09:44:00,MAIN ST,Meter,9,Monday
24P1101287,2024-04-29 09:50:00,HAMILTON ST,068,9,Monday
24P1101288,2024-04-29 10:01:00,CARROLL ST,Meter,10,Monday
24P1101289,2024-04-29 10:05:00,DAYTON ST,Meter,10,Monday
24P1101290,2024-04-29 10:10:00,STATE ST CAPITOL RAMP,001,10,Monday
24P1101291,2024-04-29 10:31:00,GORHAM ST,Meter,10,Monday
24P1101292,2024-04-29 10:44:00,HENRY ST,Meter,10,Monday
24P1101293,2024-04-29 10:48:00,GILMAN ST,Meter,10,Monday
24P1101294,2024-04-29 10:53:00,GILMAN ST,Meter,10,Monday
24P1101295,2024-04-29 10:54:00,GILMAN ST,Meter,10,Monday
24P1101296,2024-04-29 11:03:00,GORHAM ST,Meter,11,Monday
24P1101297,2024-04-29 11:06:00,GORHAM ST,Meter,11,Monday
24P1101298,2024-04-29 11:13:00,BROOM ST,Meter,11,Monday
24P1101299,2024-04-29 11:19:00,GORHAM ST,Meter,11,Monday
24P1101300,2024-04-29 11:29:00,GILMAN ST,Meter,11,Monday
24P1101301,2024-04-29 11:32:00,GILMAN ST,Meter,11,Monday
24P1101302,2024-04-29 11:36:00,GILMAN ST,Meter,11,Monday
24P1101303,2024-04-29 11:39:00,GILMAN ST,Meter,11,Monday
24P1101304,2024-04-29 11:43:00,FRANCES ST,Meter,11,Monday
