fullStreetName,CoordList
Apostle Island,"[(-89.51510185006715, 43.045203705354275), (-89.515096201555, 43.0451844755418), (-89.51509110026811, 43.04516516427506), (-89.51508654744406, 43.04514577875396), (-89.51508254555175, 43.045126328877785), (-89.51507909582871, 43.045106821846325), (-89.51507619951396, 43.04508726575977), (-89.51507386030356, 43.045067670516275), (-89.51507433576879, 43.04505988690009), (-89.51507554149873, 43.04505214589633), (-89.51507747263999, 43.04504448441324), (-89.51508011820151, 43.04503693846415), (-89.51508346719373, 43.04502954496218), (-89.51508750248551, 43.04502233722532), (-89.51509220572264, 43.04501535127255), (-89.5150975536365, 43.045008619526655), (-89.51510352173136, 43.04500217441126), (-89.51511008059853, 43.044996045653775), (-89.51511720083082, 43.0449902638815), (-89.51512484687797, 43.04498485522645), (-89.51513298318989, 43.04497984582042), (-89.51514157053218, 43.04497525999816), (-89.51515056843763, 43.044971118494885), (-89.51515993398495, 43.04496744204781), (-89.51516962301986, 43.04496424779483), (-89.5151795889298, 43.04496155017542), (-89.51518978510228, 43.04495936362915), (-89.51520016123482, 43.044957697197844), (-89.51521067070682, 43.04495655992053), (-89.51522126075328, 43.044955955440386), (-89.51523188351956, 43.04495588829697), (-89.51524248746254, 43.04495635853205), (-89.51525302103487, 43.04495736348733), (-89.5152634351398, 43.04495889780205), (-89.51527368068038, 43.04496095611557), (-89.5152837097774, 43.04496352676546), (-89.51529347209723, 43.04496659809131), (-89.51530292221089, 43.04497015572853), (-89.51531201591128, 43.044974181710934), (-89.51532071021975, 43.04497865897159), (-89.5153289633768, 43.044983565041804), (-89.51533673484715, 43.04498887565185)]"
Apostle Island,"[(-89.51510185006715, 43.045203705354275), (-89.51526754998383, 43.045178016645245), (-89.5152775203354, 43.04517580147151), (-89.51528726290839, 43.04517309682366), (-89.51529673476865, 43.04516991533819), (-89.51530589175893, 43.045166272353015), (-89.51531469095062, 43.045162184105024), (-89.51532309432538, 43.04515766772726), (-89.51533106264583, 43.04515274575446), (-89.51533855790193, 43.045147440720385), (-89.51534554821978, 43.04514177515366), (-89.51535200050641, 43.04513577698476), (-89.515357885348, 43.04512947234079), (-89.51536317456191, 43.045122890048255), (-89.51536784610455, 43.045116060728816), (-89.51537187793366, 43.04510901590422), (-89.51537525168865, 43.04510178709336), (-89.51537795023897, 43.04509440761416), (-89.51537996381741, 43.045086910778565), (-89.51538128143241, 43.04507933169979), (-89.51538189822698, 43.04507170458597), (-89.51538181057298, 43.04506406454414), (-89.51538101852229, 43.04505644577849), (-89.51537952703872, 43.04504888428916), (-89.51537734108304, 43.04504141427614), (-89.51537447297834, 43.04503406903346), (-89.51537093382157, 43.04502688275602), (-89.51536674084457, 43.045019888733776), (-89.5153619125035, 43.04501311845534), (-89.51535647216213, 43.04500660250536), (-89.51535044318425, 43.04500037146826), (-89.51534385506547, 43.04499445322336), (-89.51533673484715, 43.04498887565185)]"
Apostle Island,"[(-89.51432334801953, 43.0458419511405), (-89.5144413755159, 43.045755828284065), (-89.51448632555088, 43.045723803119756), (-89.51453080866429, 43.04569142907264), (-89.514574819954, 43.04565871064772), (-89.51461835451505, 43.045625650549866), (-89.5146614074453, 43.04559225328413), (-89.51470397384, 43.04555852155527), (-89.51474605002426, 43.045524459867416), (-89.51478762864161, 43.045490072727524), (-89.51482870724178, 43.04545536283845), (-89.51486927969566, 43.045420334706264), (-89.51490934232707, 43.045384991934874), (-89.51494889146151, 43.045349339028355), (-89.51498792096977, 43.045313380492715), (-89.51502642594744, 43.0452771190328), (-89.51506440394715, 43.045240559151644), (-89.51510185006715, 43.045203705354275)]"
Arizona Pass,"[(-89.36926510512333, 43.14296170645294), (-89.36890338209851, 43.14272264461326), (-89.36888102598941, 43.14270968909686), (-89.36885822701933, 43.14269715551262), (-89.36883499870189, 43.14268505196731), (-89.36881135700992, 43.14267338566886), (-89.36878731545707, 43.14266216472412), (-89.36876289247438, 43.1426513963422), (-89.36873810034704, 43.1426410877293), (-89.3687129587352, 43.142631246095135), (-89.36868748238463, 43.142621875946794), (-89.36866168849632, 43.14261298539293), (-89.36863559181516, 43.14260457984072), (-89.36860921200358, 43.14259666379974), (-89.36858256503564, 43.1425892426777), (-89.36855566811444, 43.14258232188304), (-89.368528538444, 43.1425759059242), (-89.36840376644287, 43.142537609712306)]"
Arizona Pass,"[(-89.37105487094776, 43.144271933320596), (-89.37097346037595, 43.14417767542579), (-89.37086935117301, 43.14406180421912), (-89.37082067270579, 43.144027401620235), (-89.3706203605884, 43.14387050404618), (-89.37044436817942, 43.14375417160697), (-89.37024286545854, 43.143622132438274), (-89.37011578668032, 43.143537543574055)]"
Arizona Pass,"[(-89.37011578668032, 43.143537543574055), (-89.36926510512333, 43.14296170645294)]"
Arrowpoint Way,"[(-89.2735904702611, 43.03214624180456), (-89.27180590037277, 43.03177705700641)]"
Aries Way,"[(-89.27884670681223, 43.09347970634351), (-89.2759382670841, 43.09351755677748)]"
Aries Way,"[(-89.27473916615789, 43.09353624811274), (-89.2742011876937, 43.093543931050746), (-89.27377437458206, 43.09355002386348)]"
Aries Way,"[(-89.2759382670841, 43.09351755677748), (-89.27527064875709, 43.0935279647431), (-89.27473916615789, 43.09353624811274)]"
